time,temperature,relative_humidity,pressure_msl,wind_spee,wind_direction,dew_point
2020-01-01 0:00,4.4,81,1027,2.6,270,1
2020-01-01 1:00,3.5,87,1027,3.1,270,2
2020-01-01 2:00,2.8,90,1028,2.9,280,1
2020-01-01 3:00,2.4,92,1028,2.5,260,1
2020-01-01 4:00,3.1,91,1028,2.6,270,2
2020-01-01 5:00,2.9,91,1028,3.4,280,2
2020-01-01 6:00,2.7,92,1028,4.4,280,2
2020-01-01 7:00,2.2,94,1028,3.8,290,1
2020-01-01 8:00,2.6,93,1028,2.7,290,2
2020-01-01 9:00,2.9,89,1029,2.6,280,1
2020-01-01 10:00,3.4,87,1028,2,260,2
2020-01-01 11:00,4.4,82,1028,2.5,270,2
2020-01-01 12:00,4.6,80,1028,3,260,2
2020-01-01 13:00,4.9,77,1027,4.2,270,1
2020-01-01 14:00,5.6,76,1026,2.7,250,2
2020-01-01 15:00,4.7,79,1026,2.4,250,1
2020-01-01 16:00,3.5,85,1026,1.5,220,1
2020-01-01 17:00,2.7,89,1026,1.6,220,1
2020-01-01 18:00,2.1,89,1026,1.8,210,0
2020-01-01 19:00,1.1,92,1026,1.4,200,0
2020-01-01 20:00,0.9,91,1025,1.9,220,0
2020-01-01 21:00,0.2,92,1025,2,220,-1
2020-01-01 22:00,-0.7,93,1024,1.4,220,-2
2020-01-01 23:00,-1.3,94,1024,1.3,230,-2
2020-01-02 0:00,-1.6,95,1024,1.3,230,-2
2020-01-02 1:00,-2.8,97,1024,0.9,220,-3
2020-01-02 2:00,-2.3,96,1024,1,150,-3
2020-01-02 3:00,-2.5,95,1024,1.1,170,-3
2020-01-02 4:00,-2.7,94,1023,1.3,160,-4
2020-01-02 5:00,-2.2,93,1023,2,190,-3
2020-01-02 6:00,-2.2,92,1022,1.7,210,-3
2020-01-02 7:00,-2.6,92,1022,0.9,170,-4
2020-01-02 8:00,-2.4,92,1023,1.5,150,-4
2020-01-02 9:00,-0.9,85,1022,1.8,190,-3
2020-01-02 10:00,1.4,74,1022,2.2,200,-3
2020-01-02 11:00,3.7,61,1021,2.1,200,-3
2020-01-02 12:00,5.1,57,1020,1.9,190,-3
2020-01-02 13:00,6.2,52,1019,1.9,190,-3
2020-01-02 14:00,6.7,48,1018,1.7,190,-4
2020-01-02 15:00,5.4,51,1018,1.7,180,-4
2020-01-02 16:00,4.1,54,1018,1.9,180,-4
2020-01-02 17:00,3.3,58,1018,1.6,190,-4
2020-01-02 18:00,2.3,62,1018,1.3,190,-4
2020-01-02 19:00,1.7,66,1018,1.9,220,-4
2020-01-02 20:00,1,72,1018,2.3,230,-4
2020-01-02 21:00,0.5,79,1018,2.4,230,-3
2020-01-02 22:00,0.6,83,1018,2.1,230,-2
2020-01-02 23:00,1.2,83,1018,2.6,210,-1
2020-01-03 0:00,1.5,87,1017,2.6,210,0
2020-01-03 1:00,2.3,88,1017,2.6,210,1
2020-01-03 2:00,2.4,89,1016,3.1,200,1
2020-01-03 3:00,2.1,90,1016,2.8,200,1
2020-01-03 4:00,2.2,89,1015,2.7,200,1
2020-01-03 5:00,1.7,90,1014,2.7,190,0
2020-01-03 6:00,2,89,1013,3.4,200,0
2020-01-03 7:00,2.3,90,1013,3.6,200,1
2020-01-03 8:00,3.2,89,1013,3.3,200,2
2020-01-03 9:00,4.3,85,1012,3.9,210,2
2020-01-03 10:00,4.7,84,1012,4.4,210,2
2020-01-03 11:00,5.4,82,1011,4.9,210,3
2020-01-03 12:00,5.9,81,1010,4.8,220,3
2020-01-03 13:00,6.6,78,1010,5.2,220,3
2020-01-03 14:00,6.9,79,1009,5.5,220,4
2020-01-03 15:00,6.5,85,1009,5.4,220,4
2020-01-03 16:00,5.9,96,1009,4.6,220,5
2020-01-03 17:00,6.4,90,1008,4.1,210,5
2020-01-03 18:00,6.5,91,1008,4.7,220,5
2020-01-03 19:00,6.5,95,1008,4.5,220,6
2020-01-03 20:00,6.8,94,1008,4.6,230,6
2020-01-03 21:00,6.9,96,1008,4.9,230,6
2020-01-03 22:00,7.2,95,1009,4.9,260,6
2020-01-03 23:00,5.2,89,1012,8.5,320,4
2020-01-04 0:00,4.7,91,1013,6.4,310,3
2020-01-04 1:00,4.6,91,1014,6.3,290,3
2020-01-04 2:00,4.4,92,1014,5.2,280,3
2020-01-04 3:00,4.4,90,1015,4.9,270,3
2020-01-04 4:00,4.2,89,1014,5.1,260,3
2020-01-04 5:00,4.5,87,1015,5.2,260,2
2020-01-04 6:00,4.4,85,1015,5.3,260,2
2020-01-04 7:00,4.4,85,1014,5.5,260,2
2020-01-04 8:00,4.6,85,1014,5.6,260,2
2020-01-04 9:00,4.9,83,1014,5.7,260,2
2020-01-04 10:00,5.3,81,1013,6.4,250,2
2020-01-04 11:00,5,87,1011,5.8,240,3
2020-01-04 12:00,5.2,88,1010,6.4,250,3
2020-01-04 13:00,5.6,89,1009,7.7,260,4
2020-01-04 14:00,3.7,90,1010,8.8,290,2
2020-01-04 15:00,4.8,90,1011,7.6,300,3
